order_id,order_date,year,month,country,state,sales_channel,customer_age_group,customer_gender,product_category,sub_category,product_name,brand,order_quantity,unit_cost,unit_price,discount_pct,discount_amount,revenue,cost,profit,rating,quality_score,stock_status
ORD-00035,2024-02-09,2024,2,Germany,Berlin,Amazon,45-54,Female,Road Bikes,Endurance Road,EnduroRide 250,Velocity,4,590,889.72,0.05,177.94,3380.94,2360,1020.94,4.2,84,In Stock
ORD-00036,2024-10-12,2024,10,United States,New York,Company Website,18-24,Male,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,5,280,518.13,0.1,259.06,2331.59,1400,931.59,3.7,79,Low Stock
ORD-00037,2024-09-24,2024,9,Canada,Quebec,Retail Partner,18-24,Female,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,1,420,703.54,0.15,105.53,598.01,420,178.01,4.2,86,In Stock
ORD-00038,2025-08-13,2025,8,Canada,Quebec,Retail Partner,25-34,Female,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,4,420,711.3,0,0.0,2845.2,1680,1165.2,4.0,86,Low Stock
ORD-00039,2025-03-17,2025,3,United States,New York,Company Website,35-44,Female,Accessories,Lights,NightBeam Light Set,Apex,7,12,41.35,0.2,57.89,231.56,84,147.56,4.0,81,In Stock
ORD-00040,2025-12-14,2025,12,United Kingdom,Wales,Retail Partner,55+,Female,Road Bikes,Performance Road,SpeedLine 300,Apex,2,640,1037.01,0.25,518.5,1555.52,1280,275.52,4.2,89,Low Stock
ORD-00041,2025-02-19,2025,2,France,Ile-de-France,Company Website,25-34,Other,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,3,310,552.23,0,0.0,1656.69,930,726.69,3.7,82,In Stock
ORD-00042,2025-04-29,2025,4,Australia,New South Wales,Company Website,18-24,Male,Accessories,Locks,SecureLock Pro,Guardian,3,18,49.83,0.05,7.47,142.02,54,88.02,3.9,85,In Stock
ORD-00043,2025-11-19,2025,11,United Kingdom,England,Company Website,55+,Male,Road Bikes,Endurance Road,EnduroRide 250,Velocity,2,590,882.66,0.1,176.53,1588.79,1180,408.79,3.6,84,In Stock
ORD-00044,2025-12-14,2025,12,Germany,Hesse,Amazon,45-54,Male,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,1,900,1598.0,0.1,159.8,1438.2,900,538.2,4.7,93,Low Stock
ORD-00045,2024-06-29,2024,6,Australia,Queensland,Retail Partner,55+,Other,Electric Bikes,Mountain E-Bike,VoltTrail X,E-Motion,1,1200,1963.81,0.15,294.57,1669.24,1200,469.24,4.9,95,Low Stock
ORD-00046,2025-09-01,2025,9,United Kingdom,Scotland,Amazon,45-54,Female,Accessories,Lights,NightBeam Light Set,Apex,10,12,41.26,0.1,41.26,371.34,120,251.34,3.8,81,In Stock
ORD-00047,2024-09-22,2024,9,Canada,Quebec,Company Website,35-44,Other,Accessories,Helmets,SafeRide Helmet,Apex,9,22,57.89,0.2,104.2,416.81,198,218.81,3.9,88,In Stock
ORD-00048,2024-03-23,2024,3,Canada,British Columbia,Company Website,45-54,Female,Road Bikes,Endurance Road,EnduroRide 250,Velocity,4,590,871.91,0.2,697.53,2790.11,2360,430.11,4.2,84,In Stock
ORD-00049,2025-07-09,2025,7,Germany,Hesse,Retail Partner,45-54,Female,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,2,420,699.44,0.1,139.89,1258.99,840,418.99,4.3,86,In Stock
ORD-00050,2024-01-07,2024,1,United Kingdom,Scotland,Retail Partner,25-34,Female,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,2,900,1569.72,0.15,470.92,2668.52,1800,868.52,4.0,93,In Stock
ORD-00051,2024-08-12,2024,8,United Kingdom,Scotland,Company Website,25-34,Other,Electric Bikes,Mountain E-Bike,VoltTrail X,E-Motion,1,1200,1986.4,0.1,198.64,1787.76,1200,587.76,4.6,95,In Stock
ORD-00052,2025-06-30,2025,6,United States,Florida,Amazon,45-54,Male,Accessories,Lights,NightBeam Light Set,Apex,11,12,37.19,0.2,81.82,327.27,132,195.27,3.8,81,In Stock
ORD-00053,2024-02-21,2024,2,United Kingdom,Scotland,Company Website,35-44,Male,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,2,280,495.25,0.1,99.05,891.45,560,331.45,3.9,79,Low Stock
ORD-00054,2025-04-26,2025,4,United States,Washington,Retail Partner,18-24,Male,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,3,420,723.13,0,0.0,2169.39,1260,909.39,4.0,86,Low Stock
ORD-00055,2024-09-10,2024,9,Canada,Ontario,Retail Partner,35-44,Female,Accessories,Lights,NightBeam Light Set,Apex,4,12,37.69,0,0.0,150.76,48,102.76,3.8,81,In Stock
ORD-00056,2024-06-20,2024,6,France,Provence-Alpes-Cote d'Azur,Amazon,35-44,Other,Accessories,Bottles,HydroBottle,Guardian,3,5,20.43,0,0.0,61.29,15,46.29,3.5,76,In Stock
ORD-00057,2025-11-24,2025,11,Germany,Hesse,Amazon,55+,Male,Accessories,Bottles,HydroBottle,Guardian,5,5,18.3,0.15,13.72,77.78,25,52.78,3.9,76,In Stock
ORD-00058,2024-12-21,2024,12,France,Occitanie,Company Website,18-24,Female,Accessories,Locks,SecureLock Pro,Guardian,7,18,46.63,0.2,65.28,261.13,126,135.13,3.6,85,In Stock
ORD-00059,2025-01-05,2025,1,Australia,Victoria,Retail Partner,45-54,Female,Accessories,Bottles,HydroBottle,Guardian,4,5,18.49,0.1,7.4,66.56,20,46.56,3.4,76,In Stock
ORD-00060,2025-03-22,2025,3,Australia,Queensland,Company Website,25-34,Female,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,3,310,580.84,0,0.0,1742.52,930,812.52,4.0,82,In Stock
ORD-00061,2025-08-06,2025,8,France,Provence-Alpes-Cote d'Azur,Company Website,35-44,Female,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,2,900,1520.38,0,0.0,3040.76,1800,1240.76,4.5,93,In Stock
ORD-00062,2025-09-02,2025,9,Australia,Victoria,Retail Partner,45-54,Female,Accessories,Helmets,SafeRide Helmet,Apex,2,22,63.32,0.15,19.0,107.64,44,63.64,4.6,88,In Stock
ORD-00063,2025-07-22,2025,7,Canada,Alberta,Company Website,55+,Female,Accessories,Locks,SecureLock Pro,Guardian,9,18,51.6,0.1,46.44,417.96,162,255.96,4.2,85,In Stock
ORD-00064,2025-04-29,2025,4,France,Provence-Alpes-Cote d'Azur,Company Website,35-44,Female,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,4,280,509.75,0.2,407.8,1631.2,1120,511.2,4.0,79,In Stock
ORD-00065,2024-09-14,2024,9,Canada,Ontario,Amazon,45-54,Female,Accessories,Bottles,HydroBottle,Guardian,5,5,18.35,0.05,4.59,87.16,25,62.16,3.4,76,In Stock
ORD-00066,2025-08-26,2025,8,France,Provence-Alpes-Cote d'Azur,Company Website,18-24,Other,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,1,310,542.69,0,0.0,542.69,310,232.69,3.9,82,In Stock
ORD-00067,2025-06-30,2025,6,Canada,Quebec,Amazon,18-24,Other,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,1,420,690.6,0.15,103.59,587.01,420,167.01,4.5,86,Low Stock
ORD-00068,2024-10-18,2024,10,Germany,Hesse,Company Website,18-24,Male,Electric Bikes,Mountain E-Bike,VoltTrail X,E-Motion,2,1200,2149.95,0,0.0,4299.9,2400,1899.9,4.6,95,In Stock
ORD-00069,2025-02-14,2025,2,Germany,Bavaria,Amazon,18-24,Other,Accessories,Lights,NightBeam Light Set,Apex,12,12,37.32,0.2,89.57,358.27,144,214.27,4.2,81,In Stock
ORD-00070,2025-03-02,2025,3,France,Provence-Alpes-Cote d'Azur,Company Website,55+,Female,Accessories,Lights,NightBeam Light Set,Apex,5,12,38.98,0.15,29.23,165.67,60,105.67,4.3,81,Low Stock
ORD-00071,2024-11-08,2024,11,France,Provence-Alpes-Cote d'Azur,Amazon,25-34,Male,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,5,420,750.16,0.1,375.08,3375.72,2100,1275.72,4.2,86,In Stock
ORD-00072,2025-07-19,2025,7,United States,Texas,Amazon,25-34,Female,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,4,420,726.69,0.1,290.68,2616.08,1680,936.08,4.4,86,In Stock
ORD-00073,2025-12-24,2025,12,United Kingdom,Wales,Amazon,45-54,Male,Electric Bikes,Mountain E-Bike,VoltTrail X,E-Motion,1,1200,2139.15,0.15,320.87,1818.28,1200,618.28,4.8,95,In Stock
ORD-00074,2025-07-11,2025,7,Canada,British Columbia,Retail Partner,55+,Female,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,2,310,525.81,0,0.0,1051.62,620,431.62,3.7,82,Low Stock
ORD-00075,2025-03-25,2025,3,United States,Florida,Retail Partner,18-24,Female,Accessories,Bottles,HydroBottle,Guardian,6,5,19.04,0.2,22.85,91.39,30,61.39,3.8,76,In Stock
ORD-00076,2024-11-26,2024,11,France,Occitanie,Company Website,55+,Male,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,1,420,754.88,0.1,75.49,679.39,420,259.39,4.5,86,In Stock
ORD-00077,2024-06-28,2024,6,Germany,Hesse,Company Website,35-44,Female,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,2,310,552.66,0.15,165.8,939.52,620,319.52,4.3,82,In Stock
ORD-00078,2025-11-17,2025,11,United States,Texas,Retail Partner,18-24,Female,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,4,280,492.75,0.25,492.75,1478.25,1120,358.25,3.3,79,Low Stock
ORD-00079,2024-03-31,2024,3,United Kingdom,Scotland,Company Website,45-54,Male,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,1,280,530.16,0.1,53.02,477.14,280,197.14,3.9,79,Low Stock
ORD-00080,2024-07-11,2024,7,France,Occitanie,Company Website,55+,Male,Accessories,Lights,NightBeam Light Set,Apex,9,12,39.29,0.2,70.72,282.89,108,174.89,4.0,81,In Stock
ORD-00081,2024-10-21,2024,10,Germany,Hesse,Retail Partner,45-54,Male,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,1,760,1233.95,0.2,246.79,987.16,760,227.16,4.5,91,In Stock
ORD-00082,2024-08-18,2024,8,United States,Florida,Retail Partner,35-44,Female,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,2,760,1284.42,0.1,256.88,2311.96,1520,791.96,4.6,91,In Stock
ORD-00083,2025-05-09,2025,5,Germany,Berlin,Amazon,35-44,Female,Electric Bikes,Mountain E-Bike,VoltTrail X,E-Motion,3,1200,1998.73,0,0.0,5996.19,3600,2396.19,5.0,95,Low Stock
ORD-00084,2024-12-14,2024,12,France,Occitanie,Retail Partner,45-54,Male,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,3,420,740.15,0.2,444.09,1776.36,1260,516.36,4.1,86,In Stock
ORD-00085,2025-04-02,2025,4,France,Occitanie,Retail Partner,25-34,Other,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,3,280,523.54,0.15,235.59,1335.03,840,495.03,3.5,79,Low Stock
ORD-00086,2025-01-27,2025,1,Canada,Alberta,Company Website,45-54,Other,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,3,420,707.03,0.2,424.22,1696.87,1260,436.87,4.6,86,Low Stock
ORD-00087,2025-10-29,2025,10,Canada,Alberta,Amazon,55+,Female,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,2,420,751.77,0.15,225.53,1278.01,840,438.01,4.1,86,Low Stock
ORD-00088,2024-01-16,2024,1,Australia,New South Wales,Company Website,35-44,Other,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,3,900,1438.63,0,0.0,4315.89,2700,1615.89,4.7,93,Low Stock
ORD-00089,2025-12-10,2025,12,Germany,Bavaria,Retail Partner,18-24,Male,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,5,280,514.71,0.2,514.71,2058.84,1400,658.84,4.1,79,In Stock
ORD-00090,2025-10-08,2025,10,Australia,Victoria,Retail Partner,18-24,Female,Road Bikes,Endurance Road,EnduroRide 250,Velocity,1,590,968.39,0.1,96.84,871.55,590,281.55,3.9,84,Low Stock
ORD-00091,2024-06-19,2024,6,Australia,Victoria,Retail Partner,45-54,Other,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,1,420,736.4,0.05,36.82,699.58,420,279.58,4.1,86,In Stock
ORD-00092,2025-11-29,2025,11,Canada,British Columbia,Retail Partner,25-34,Male,Road Bikes,Performance Road,SpeedLine 300,Apex,1,640,1029.53,0.25,257.38,772.15,640,132.15,4.6,89,In Stock
ORD-00093,2025-04-17,2025,4,Australia,Victoria,Amazon,18-24,Female,Electric Bikes,Mountain E-Bike,VoltTrail X,E-Motion,2,1200,1901.49,0.2,760.6,3042.38,2400,642.38,4.9,95,In Stock
ORD-00094,2024-12-19,2024,12,France,Occitanie,Company Website,45-54,Male,Accessories,Locks,SecureLock Pro,Guardian,8,18,49.46,0.2,79.14,316.54,144,172.54,3.6,85,In Stock
ORD-00095,2024-08-30,2024,8,Germany,Hamburg,Retail Partner,18-24,Other,Accessories,Lights,NightBeam Light Set,Apex,6,12,38.55,0.2,46.26,185.04,72,113.04,4.4,81,In Stock
ORD-00096,2025-05-23,2025,5,United Kingdom,England,Retail Partner,25-34,Other,Accessories,Lights,NightBeam Light Set,Apex,7,12,40.28,0,0.0,281.96,84,197.96,3.9,81,In Stock
ORD-00097,2024-04-09,2024,4,Australia,Queensland,Company Website,45-54,Male,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,3,420,667.08,0.1,200.12,1801.12,1260,541.12,4.1,86,Low Stock
ORD-00098,2024-07-24,2024,7,Canada,Quebec,Company Website,35-44,Other,Accessories,Helmets,SafeRide Helmet,Apex,10,22,62.42,0.05,31.21,592.99,220,372.99,4.4,88,In Stock
ORD-00099,2024-12-12,2024,12,United States,Florida,Amazon,35-44,Other,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,2,760,1289.82,0.25,644.91,1934.73,1520,414.73,4.6,91,Low Stock
ORD-00100,2024-05-06,2024,5,Germany,Hamburg,Company Website,18-24,Other,Accessories,Locks,SecureLock Pro,Guardian,12,18,50.27,0.05,30.16,573.08,216,357.08,3.9,85,Low Stock
ORD-00101,2024-08-27,2024,8,Germany,Bavaria,Retail Partner,35-44,Other,Accessories,Lights,NightBeam Light Set,Apex,10,12,41.69,0.05,20.84,396.06,120,276.06,4.0,81,Low Stock
ORD-00102,2025-02-22,2025,2,United States,Texas,Amazon,55+,Male,Mountain Bikes,Hardtail,TrailBlazer 100,Apex,1,420,754.55,0.05,37.73,716.82,420,296.82,4.3,86,In Stock
ORD-00103,2025-02-01,2025,2,Germany,Hamburg,Company Website,55+,Female,Accessories,Locks,SecureLock Pro,Guardian,10,18,50.29,0.1,50.29,452.61,180,272.61,4.0,85,In Stock
ORD-00104,2024-10-13,2024,10,United States,New York,Amazon,35-44,Other,Road Bikes,Endurance Road,EnduroRide 250,Velocity,4,590,965.14,0.1,386.06,3474.5,2360,1114.5,3.6,84,Low Stock
ORD-00105,2025-10-22,2025,10,United Kingdom,England,Amazon,55+,Male,Electric Bikes,Commuter E-Bike,VoltRide 500,E-Motion,2,900,1612.72,0,0.0,3225.44,1800,1425.44,5,93,In Stock
ORD-00106,2024-02-21,2024,2,United Kingdom,England,Amazon,55+,Male,Road Bikes,Performance Road,SpeedLine 300,Apex,5,640,957.96,0,0.0,4789.8,3200,1589.8,4.3,89,Low Stock
ORD-00107,2024-08-26,2024,8,United Kingdom,England,Amazon,18-24,Other,Accessories,Lights,NightBeam Light Set,Apex,2,12,41.4,0.05,4.14,78.66,24,54.66,4.1,81,In Stock
ORD-00108,2024-01-27,2024,1,Canada,Ontario,Amazon,25-34,Other,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,2,280,495.05,0.15,148.51,841.59,560,281.59,4.0,79,In Stock
ORD-00109,2025-03-07,2025,3,France,Ile-de-France,Amazon,55+,Male,Accessories,Bottles,HydroBottle,Guardian,3,5,19.16,0.1,5.75,51.73,15,36.73,3.6,76,In Stock
ORD-00110,2025-11-05,2025,11,France,Occitanie,Company Website,18-24,Female,Electric Bikes,Mountain E-Bike,VoltTrail X,E-Motion,3,1200,2158.55,0.1,647.57,5828.08,3600,2228.08,5.0,95,Low Stock
ORD-00111,2025-12-30,2025,12,Germany,Bavaria,Company Website,45-54,Other,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,3,760,1149.29,0.15,517.18,2930.69,2280,650.69,4.4,91,In Stock
ORD-00112,2025-06-27,2025,6,United Kingdom,Scotland,Retail Partner,55+,Other,Accessories,Helmets,SafeRide Helmet,Apex,11,22,56.81,0.1,62.49,562.42,242,320.42,4.6,88,In Stock
ORD-00113,2024-08-08,2024,8,Germany,Hesse,Company Website,35-44,Female,Road Bikes,Endurance Road,EnduroRide 250,Velocity,4,590,950.75,0.05,190.15,3612.85,2360,1252.85,3.8,84,In Stock
ORD-00114,2024-06-05,2024,6,Australia,Victoria,Retail Partner,35-44,Male,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,1,760,1153.58,0,0.0,1153.58,760,393.58,4.7,91,In Stock
ORD-00115,2025-07-23,2025,7,United States,Washington,Company Website,18-24,Female,Accessories,Helmets,SafeRide Helmet,Apex,10,22,61.19,0.05,30.59,581.31,220,361.31,3.9,88,Low Stock
ORD-00116,2025-09-06,2025,9,United Kingdom,Scotland,Amazon,18-24,Female,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,5,760,1172.21,0.15,879.16,4981.89,3800,1181.89,4.8,91,In Stock
ORD-00117,2025-07-23,2025,7,United Kingdom,England,Retail Partner,55+,Male,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,5,310,579.16,0,0.0,2895.8,1550,1345.8,4.4,82,Low Stock
ORD-00118,2025-09-15,2025,9,Australia,Queensland,Company Website,35-44,Male,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,1,310,541.05,0,0.0,541.05,310,231.05,3.4,82,Low Stock
ORD-00119,2024-07-04,2024,7,Canada,Alberta,Company Website,45-54,Female,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,2,760,1237.74,0.2,495.1,1980.38,1520,460.38,4.9,91,In Stock
ORD-00120,2024-06-10,2024,6,United Kingdom,Scotland,Amazon,25-34,Other,Accessories,Bottles,HydroBottle,Guardian,7,5,19.52,0.15,20.5,116.14,35,81.14,3.9,76,Low Stock
ORD-00121,2024-02-20,2024,2,Australia,New South Wales,Retail Partner,18-24,Female,Hybrid Bikes,City Hybrid,UrbanGo 200,Metro,4,310,551.81,0.2,441.45,1765.79,1240,525.79,3.8,82,In Stock
ORD-00122,2025-03-16,2025,3,United States,New York,Amazon,25-34,Female,Accessories,Locks,SecureLock Pro,Guardian,12,18,49.65,0.15,89.37,506.43,216,290.43,3.9,85,In Stock
ORD-00123,2025-09-05,2025,9,United States,California,Company Website,45-54,Male,Road Bikes,Endurance Road,EnduroRide 250,Velocity,3,590,943.73,0,0.0,2831.19,1770,1061.19,4.1,84,In Stock
ORD-00124,2024-05-12,2024,5,Germany,Berlin,Retail Partner,18-24,Female,Accessories,Helmets,SafeRide Helmet,Apex,10,22,62.23,0.2,124.46,497.84,220,277.84,4.1,88,In Stock
ORD-00125,2024-01-20,2024,1,Germany,Bavaria,Amazon,35-44,Male,Hybrid Bikes,Comfort Hybrid,ComfortCruise 150,Metro,5,280,511.25,0.1,255.62,2300.63,1400,900.63,3.8,79,In Stock
ORD-00126,2025-09-24,2025,9,Germany,Hamburg,Retail Partner,18-24,Female,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,4,760,1176.98,0,0.0,4707.92,3040,1667.92,4.2,91,In Stock
ORD-00127,2024-11-13,2024,11,Australia,Victoria,Company Website,35-44,Other,Road Bikes,Endurance Road,EnduroRide 250,Velocity,3,590,913.71,0.1,274.11,2467.02,1770,697.02,4.3,84,Low Stock
ORD-00128,2025-10-22,2025,10,Canada,British Columbia,Retail Partner,18-24,Male,Mountain Bikes,Full Suspension,RockRider Pro,Vastra,2,760,1169.8,0.05,116.98,2222.62,1520,702.62,4.7,91,In Stock
